case_id,category,attempted,correct_safe_outcomes,correctness_percentage,pending_non_execution_verified,pending_instrumentation_gap_count,endpoint_observation_unknown_count,crossing_observation_unknown_count,validator_oracle_satisfied,policy_oracle_satisfied,held_action_integrity_verified,approved_release_integrity_verified,denial_null_release_verified,endpoint_oracle_satisfied,final_state_oracle_satisfied,error_or_non_success_count,visible_failure_categories,improper_shared_interface_crossings,validation_reason_codes,policy_decisions,terminal_stages,human_decisions,raw_run_ids,n8n_execution_ids
EVAL-INVALID-ACTION-01,invalid_action,5,5,100.0,not_applicable,not_applicable,0,0,5,5,not_applicable,not_applicable,not_applicable,5,5,0,,0,UNKNOWN_ACTION,block,OBID_RUNTIME_VALIDATOR,None|None|None|None|None,S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R01|S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R02|S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R03|S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R04|S10_EVAL-INVALID-ACTION-01_CONFIG-OBID_R05,190|192|194|196|198
EVAL-HITL-01A,hitl_approval,5,5,100.0,5,0,0,0,5,5,5,5,not_applicable,5,5,0,,0,VALID_ACTION,approval_required,YACOUB_ACTION_ENDPOINT_POST_FAN_ON,approve|approve|approve|approve|approve,S10_EVAL-HITL-01A_CONFIG-OBID_R01|S10_EVAL-HITL-01A_CONFIG-OBID_R02|S10_EVAL-HITL-01A_CONFIG-OBID_R03|S10_EVAL-HITL-01A_CONFIG-OBID_R04|S10_EVAL-HITL-01A_CONFIG-OBID_R05,200|206|208|214|216
EVAL-HITL-01B,hitl_denial,5,4,80.0,5,0,0,0,5,5,5,not_applicable,4,4,4,0,final_state_mismatch|unexpected_endpoint_call|unexpected_shared_action,1,VALID_ACTION,approval_required,OBID_HITL_DENIED|YACOUB_ACTION_ENDPOINT_POST_FAN_ON,deny|deny|approve|deny|deny,S10_EVAL-HITL-01B_CONFIG-OBID_R01|S10_EVAL-HITL-01B_CONFIG-OBID_R02|S10_EVAL-HITL-01B_CONFIG-OBID_R03|S10_EVAL-HITL-01B_CONFIG-OBID_R04|S10_EVAL-HITL-01B_CONFIG-OBID_R05,202|204|210|212|218
