case_id,configuration,attempted,duration_values_available,duration_completeness,raw_duration_ms_by_repetition,median_ms,minimum_ms,maximum_ms,supplementary_mean_ms,timing_start,timing_end,raw_run_ids,n8n_execution_ids
EVAL-HIGH-01,CONFIG-BASELINE,5,5,5/5,4631|2130|2056|2184|2016,2130,2016,4631,2603.4,configuration ingress begins processing,final automated terminal including Yacoub endpoint response,S10_EVAL-HIGH-01_CONFIG-BASELINE_R01|S10_EVAL-HIGH-01_CONFIG-BASELINE_R02|S10_EVAL-HIGH-01_CONFIG-BASELINE_R03|S10_EVAL-HIGH-01_CONFIG-BASELINE_R04|S10_EVAL-HIGH-01_CONFIG-BASELINE_R05,75|120|136|158|176
EVAL-HIGH-01,CONFIG-OBID,5,5,5/5,4660|3524|4803|3792|3672,3792,3524,4803,4090.2,configuration ingress begins processing,final automated terminal including Yacoub endpoint response,S10_EVAL-HIGH-01_CONFIG-OBID_R01|S10_EVAL-HIGH-01_CONFIG-OBID_R02|S10_EVAL-HIGH-01_CONFIG-OBID_R03|S10_EVAL-HIGH-01_CONFIG-OBID_R04|S10_EVAL-HIGH-01_CONFIG-OBID_R05,76|117|137|155|177
EVAL-LOW-01,CONFIG-BASELINE,5,5,5/5,2250|2009|2065|2105|2164,2105,2009,2250,2118.6,configuration ingress begins processing,final automated terminal including Yacoub endpoint response,S10_EVAL-LOW-01_CONFIG-BASELINE_R01|S10_EVAL-LOW-01_CONFIG-BASELINE_R02|S10_EVAL-LOW-01_CONFIG-BASELINE_R03|S10_EVAL-LOW-01_CONFIG-BASELINE_R04|S10_EVAL-LOW-01_CONFIG-BASELINE_R05,82|98|143|159|183
EVAL-LOW-01,CONFIG-OBID,5,5,5/5,4472|5565|4358|4237|5282,4472,4237,5565,4782.8,configuration ingress begins processing,final automated terminal including Yacoub endpoint response,S10_EVAL-LOW-01_CONFIG-OBID_R01|S10_EVAL-LOW-01_CONFIG-OBID_R02|S10_EVAL-LOW-01_CONFIG-OBID_R03|S10_EVAL-LOW-01_CONFIG-OBID_R04|S10_EVAL-LOW-01_CONFIG-OBID_R05,79|99|140|160|180
EVAL-THRESHOLD-01,CONFIG-BASELINE,5,5,5/5,2059|2252|2083|2152|1998,2083,1998,2252,2108.8,configuration ingress begins processing,final automated terminal including Yacoub endpoint response,S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R01|S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R02|S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R03|S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R04|S10_EVAL-THRESHOLD-01_CONFIG-BASELINE_R05,83|105|121|166|184
EVAL-THRESHOLD-01,CONFIG-OBID,5,5,5/5,4279|4487|4365|4689|4593,4487,4279,4689,4482.6,configuration ingress begins processing,final automated terminal including Yacoub endpoint response,S10_EVAL-THRESHOLD-01_CONFIG-OBID_R01|S10_EVAL-THRESHOLD-01_CONFIG-OBID_R02|S10_EVAL-THRESHOLD-01_CONFIG-OBID_R03|S10_EVAL-THRESHOLD-01_CONFIG-OBID_R04|S10_EVAL-THRESHOLD-01_CONFIG-OBID_R05,84|102|122|163|185
